"PROVIDER_NAME","PROVIDER_NUMBER","PROVIDER_STREET","PROVIDER_CITY","PROVIDER_COUNTY","PROVIDER_STATE","PROVIDER_ZIP_CODE","PROVIDER_ZIP_CODE_PLUS_4","PROGRAM_NAME","PROGRAM_NUMBER","PROGRAM_COUNTY","PROGRAM_STREET_ADDRESS","PROGRAM_CITY","PROGRAM_STATE","PROGRAM_ZIP_CODE","PROGRAM_ZIP_CODE_PLUS_4","PROGRAM_DIRECTOR","PROGRAM_DIRECTOR_EMAIL","PROGRAM_DIRECTOR_TELEPHONE","PROGRAM_DIRECTOR_PHONE_EXTENSION","PROGRAM_TYPE","SERVICE_TYPE","ADMISSION_PHONE","ADMISSION_PHONE_EXT","TELEHEALTH_SERVICES","ADOLESCENT_DESIGNATION","PROBLEM_GAMBLING","INTEGRATED_LICENSE_SERVICE","PARENTS_WITH_CHILDREN","LGBTQ_ENDORSEMNT","ADDITIONAL_LOCATION_STREET","ADDITIONAL_LOCATION_CITY","ADDITIONAL_LOCATION_ZIP","ADDITIONAL_LOCATION_COUNTYNAME"
"Hope House, Inc.","35300","2 Holland Ave","Albany","Albany","NY","12209","","Hope House Next Step RR","53620","Albany","2 Holland Ave","Albany","NY","12209","","Ms. Wanda D Wallace CASAC","wwallace@hopehouseinc.org","5184655249","107","Residential Services","820 Rehab and Reintegration","","","","","","","Y","","","","",""
"Hope House, Inc.","35300","2 Holland Ave","Albany","Albany","NY","12209","","Hope House Next Step SL","53379","Albany","2 Holland Ave","Albany","NY","12209","1761","Ms. Wanda D Wallace CASAC","wwallace@hopehouseinc.org","5184655249","107","Residential Services","Supportive Living","","","","","","","","","","","",""
"Hope House, Inc.","35300","2 Holland Ave","Albany","Albany","NY","12209","","Hope House Women/Children's Prog CR","51834","Albany","890 Madison Ave","Albany","NY","12208","3322","Ms. Debra Lasoff LMSW","ttrueman@hopehouseinc.org","5184538351","12","Residential Services","Community Residential","5184868973","","","","","","Y","","","","",""
"Hope House, Inc.","35300","2 Holland Ave","Albany","Albany","NY","12209","","Hope House, Inc. OP 1","51291","Albany","747 Madison Ave","Albany","NY","12208","","Ms. Cynthia Cole CASAC","cynthia@hopehouseinc.org","5184278207","","Outpatient Services","Outpatient Clinic","5184278207","","Y","","","","","","160 North Main Avenue","Albany","12206","Albany"
"Hope House, Inc.","35300","2 Holland Ave","Albany","Albany","NY","12209","","Men's Recovery Program RR","53670","Albany","573 Livingston Ave","Albany","NY","12206","","Danyelle King CASAC","dking@hopehouseinc.org","5184520001","","Residential Services","820 Rehab and Reintegration","","","","","","","","","","","",""
"Hope House, Inc.","35300","2 Holland Ave","Albany","Albany","NY","12209","","Women's Recovery Program RRh","53471","Albany","577 Livingston Ave","Albany","NY","12206","2408","Ms. Debra Lasoff LMSW","dlasoff@hopehouseinc.org","5184884673","306","Residential Services","820 Rehab and Reintegration","5184868973","","","","","","","","","","",""
"Hospitality House T.C., Inc","170","271 Central Ave","Albany","Albany","NY","12206","","Hospitality House T.C., Inc. SRh","53452","Albany","271 Central Ave","Albany","NY","12206","2611","Ms. Linda Smith","lsmith@hospitalityhouse.info","5184346468","118","Residential Services","820 Stabil and Rehab","","","","","","","","","","","",""
"LaSalle School","12400","391 Western Ave","Albany","Albany","NY","12203","","La Salle School OP","5469","Albany","391 Western Ave","Albany","NY","12203","1401","Dina McManus","dmcmanus@lasalle-school.org","5182424731","228","Outpatient Services","Outpatient Clinic","5182424731","228","","","","OMH Hosted","","","","","",""
"Pearl Street Counseling Center","651","109 State St","Albany","Albany","NY","12207","1642","Pearl St Counseling Center OP","1694","Albany","109 State St","Albany","NY","12207","1642","Mr. Guy Kuperman","Guyk@pearlcounseling.org","5184624320","","Outpatient Services","Outpatient Clinic","5184624320","","Y","","","","","","","","",""
"PROMESA, Inc.","166","311 east 175 street","Bronx","Bronx","Ny","10457","","Camino Nuevo OTP","52785","Albany","175 Central Ave","Albany","NY","12206","2938","Mrs. Elizabeth Smith CASAC","esmith@hubwny.org","7167684040","","Opioid Treatment","Opioid Outpatient Treatment","5187295659","5002","Y","","","Mental Health","","","","","",""
"PROMESA, Inc.","166","311 east 175 street","Bronx","Bronx","Ny","10457","","PROMESA, Inc. OP 3","53765","Albany","175 Central Ave","Albany","NY","12206","","Ms. Ana Amador CASAC","aamador@promesa.org","5187295659","","Outpatient Services","Outpatient Clinic","","","Y","","","Mental Health","","","","","",""
"Senior Hope Counseling, Inc.","45240","650 Warren St","Albany","Albany","NY","12208","2998","Senior Hope Counseling, Inc. OP","52134","Albany","650 Warren St","Albany","NY","12208","2998","Dr. Nicole MacFarland LCSW","N.MacFarland@Seniorhope.org","5184897777","","Outpatient Services","Outpatient Clinic","5184897777","","Y","","","","","","","","",""
"St. Peter's Hospital City of Albany","83060","3 Mercycare Ln","Guilderland","Saratoga","NY","12084","3504","SPARC Halfway House RRi","53712","Albany","64 2nd Ave","Albany","NY","12202","1240","Ms. Jasmine Guerrero-Wiggs","Jasmine.Guerrero-Wiggs@sphp.com","5184495170","1109","Residential Services","820 Residential Reintegration","5184495170","1113","Y","","","","","","","","",""
"St. Peter's Hospital City of Albany","83060","3 Mercycare Ln","Guilderland","Saratoga","NY","12084","3504","SPARC Inpatient RehabilitationProgram","51039","Albany","3 Mercycare Ln","Guilderland","NY","12084","3504","Ms. April Mainella","April.Cone@sphp.com","5184526736","","Inpatient Treatment Services","Inpatient Rehabilitation","5184526797","","Y","","","","","","","","",""
"St. Peter's Hospital City of Albany","83060","3 Mercycare Ln","Guilderland","Saratoga","NY","12084","3504","SPARC OP","50230","Albany","55 Mohawk St","Cohoes","NY","12047","","Ms. Marie Sullivan","Marie.Sullivan@sphp.com","5182351100","4","Outpatient Services","Outpatient Clinic","5182351100","","Y","","","","","","","","",""
"St. Peter's Hospital City of Albany","83060","3 Mercycare Ln","Guilderland","Saratoga","NY","12084","3504","St. Peter's Hosp City of Albany OP","50927","Albany","636 New Loudon Rd","Latham","NY","12110","4002","Ms. Robyn Tompkins","Robyn.Tompkins@sphp.com","5187835381","","Outpatient Services","Outpatient Clinic","5187835381","","Y","","","","","","","","",""
"St. Peter's Hospital City of Albany","83060","3 Mercycare Ln","Guilderland","Saratoga","NY","12084","3504","St. Peter's Hosp City of Albany OP 1","51920","Albany","64 2nd Ave","Albany","NY","12202","1240","Ms. Jasmine Guerrero-Wiggs","Jasmine.Guerrero-Wiggs@sphp.com","5184495170","1109","Outpatient Services","Outpatient Clinic","5184495170","1109","Y","","","","","","","","",""
"St. Peter's Hospital City of Albany","83060","3 Mercycare Ln","Guilderland","Saratoga","NY","12084","3504","St. Peter's Hosp City of Albany OP R","50233","Albany","64 2nd Ave","Albany","NY","12202","1240","Ms. Jasmine Guerrero-Wiggs","Jasmine.Guerrero-Wiggs@sphp.com","5184495170","1109","Outpatient Services","Outpatient Rehabilitation","5184495170","1109","Y","","","","","","","","",""
"St. Peter's Hospital City of Albany","83060","3 Mercycare Ln","Guilderland","Saratoga","NY","12084","3504","St. Peter's Hospital Cityof Albany MMD","50227","Albany","315 S Manning Blvd","Albany","NY","12208","1707","Mr. Steve Boulet","steve.boulet@sphp.com","5185251053","","Crisis Services","Medical Managed Detoxification","5185251303","","","","","","","","","","",""
"St. Peter's Hospital City of Albany","83060","3 Mercycare Ln","Guilderland","Saratoga","NY","12084","3504","St. Peter's Hospital Detox MSW OP","53157","Albany","315 S Manning Blvd","Albany","NY","12208","1707","Mr. Steve Boulet","steve.boulet@sphp.com","5185251053","","Crisis Services","Med Sup Withdrawal-Outpatient","","","Y","","","","","","","","",""
"Trinity Alliance of the Capital Region","24440","15 Trinity Place","Albany","Albany","NY","12202","","Trinity Alliance Capital Region RRi","53244","Albany","76-82 2nd St","Albany","NY","12210","2517","Mrs. Joyce C Williams","Joyce.Williams@ta-cr.org","5184361104","","Residential Services","820 Residential Reintegration","","","","","","","","","","","",""
"Whitney M Young Jr Health Center, Inc.","35200","920 Lark Dr","Albany","Albany","NY","12207","","F.A.C.T.S. OP","50855","Albany","10 DeWitt Street","Albany","NY","12207","2423","Mr. Clint Garrigan CASAC","cgarrigan@wmyhealth.org","5184633882","4927","Outpatient Services","Outpatient Clinic","","","","","","","","","","","",""
"Whitney M Young Jr Health Center, Inc.","35200","920 Lark Dr","Albany","Albany","NY","12207","","Whitney M Young Jr Health Ctr, Inc OMM","53011","Albany","10 DeWitt St","Albany","NY","12207","2423","Mr. Clint Garrigan CASAC","cgarrigan@wmyhealth.org","5184633882","4927","Opioid Treatment","Medical Maintenance","","","","","","","","","","","",""
"Whitney M Young Jr Health Center, Inc.","35200","920 Lark Dr","Albany","Albany","NY","12207","","Whitney M Young Jr Health Ctr, Inc OTP","1631","Albany","10 DeWitt St","Albany","NY","12207","2423","Mr. Clint Garrigan CASAC","cgarrigan@wmyhealth.org","5184633882","4927","Opioid Treatment","Opioid Outpatient Treatment","","","","","","","","","","","",""
"Allegany Council on Alcsm & Subs Abuse","38110","3084 Trapping Brook Rd","Wellsville","Allegany","NY","14895","9445","Allegany Council on Alcsm & SA OP","50177","Allegany","2956 Airway Rd","Wellsville","NY","14895","9329","Mr. Chad Sebastian CASAC","csebastian@alleganycouncil.org","5855936738","130","Outpatient Services","Outpatient Clinic","5855936738","130","Y","","","","","","40 West Main Street","Cuba","14727","Allegany"
"Allegany Council on Alcsm & Subs Abuse","38110","3084 Trapping Brook Rd","Wellsville","Allegany","NY","14895","9445","Trapping Brook House RRi","53662","Allegany","3084 Trapping Brook Rd","Wellsville","NY","14895","","Mrs. Shelbie Cuomo CASAC","sbrown@alleganycouncil.org","5855931920","721","Residential Services","820 Residential Reintegration","","","","","","","","","","","",""
"Allegany Council on Alcsm & Subs Abuse","38110","3084 Trapping Brook Rd","Wellsville","Allegany","NY","14895","9445","Trapping Brook House RRi 2","53663","Allegany","3084 Trapping Brook Rd","Wellsville","NY","14895","","Mrs. Shelbie Cuomo CASAC","sbrown@alleganycouncil.org","5855931920","721","Residential Services","820 Residential Reintegration","","","","","","","","","","","",""
"Argus Community, Inc.","10160","Forrest Ave","Bronx","Bronx","NY","10452","","Elizabeth L. Sturz Outpatient Centr OP","227","Bronx","830 Forest Ave","Bronx","NY","10456","","Adele Herrera CASAC","aherrera@arguscommunity.org","7184015700","","Outpatient Services","Outpatient Clinic","7184015700","","Y","","","","","","226 East 144th Street","Bronx","10451","Bronx"
"Argus Community, Inc.","10160","Forrest Ave","Bronx","Bronx","NY","10452","","Harbor House 1 RR","53152","Bronx","830 Forest Ave","Bronx","NY","10456","","Ms. Leona Jones CASAC","ljones@arguscommunity.org","7189932376","","Residential Services","820 Rehab and Reintegration","","","","","","","","","","","",""
"Argus Community, Inc.","10160","Forrest Ave","Bronx","Bronx","NY","10452","","Harbor House 2 RR","53153","Bronx","830 Forest Ave","Bronx","NY","10456","","Mr. Ed Perez MSW","eperez@arguscommunity.org","7184015788","","Residential Services","820 Rehab and Reintegration","","","","","","","","","","","",""
"Arms Acres, Inc.","32412","75 Seminary Hill Rd","Carmel","Putnam","NY","10512","1921","Arms Acres, Inc. OP 2","52100","Bronx","3584 Jerome Ave","Bronx","NY","10467","1006","Ms. Thais Mitchell","tmitchell@libertymgt.com","7186531537","5104","Outpatient Services","Outpatient Clinic","","","Y","","","","","","","","",""
"BASICS, Bronx Addiction Services","1857","Franklin Ave","Bronx","Bronx","NY","10456","6704","Franklin House SRR","53297","Bronx","1064 Franklin Ave","Bronx","NY","10456","","Mr. Antonio M Valdez","anvaldez@basicsinc.org","9173835160","","Residential Services","820 Stabil Rehab Reintegration","","","","","","","","","","","",""
"Bronx Addiction Treatment Center","90008","1500 Waters Pl","Bronx","Bronx","NY","10461","2723","Bronx ATC IP","50740","Bronx","1500 Waters Pl","Bronx","NY","10461","2723","Ms. Brenda Harris-Collins","antonette.whyte-etere@oasas.ny.gov","7189040026","","Inpatient Treatment Services","Inpatient Rehabilitation","9293484753","","Y","","Y","","","","","","",""
"BronxCare Health System","85190","1276 Fulton Ave","Bronx","Bronx","NY","10456","3402","BronxCare Addictions Detox Prog MSW-IP","52763","Bronx","1285 Fulton Ave","Bronx","NY","10456","3401","Ms. Teanika Chamberlain LCSW","tchambe1@bronxcare.org","7185183736","","Crisis Services","Med Sup Withdrawal - Inpatient","7189018780","","","","","","","","","","",""
"BronxCare Health System","85190","1276 Fulton Ave","Bronx","Bronx","NY","10456","3402","BronxCare Addictions Rehab Prog IP","51116","Bronx","1285 Fulton Ave","Bronx","NY","10456","3401","Ms. Teanika Chamberlain LCSW","tchambe1@bronxcare.org","7185183736","","Inpatient Treatment Services","Inpatient Rehabilitation","7189018780","","","","","","","","","","",""
"BronxCare Health System","85190","1276 Fulton Ave","Bronx","Bronx","NY","10456","3402","BronxCare Chemical Dependence OP","52764","Bronx","1285 Fulton Ave","Bronx","NY","10456","3401","Ms. Teanika Chamberlain LCSW","tchambe1@bronxcare.org","7185183736","","Outpatient Services","Outpatient Clinic","7185183737","","Y","","","Primary Care","","","","","",""
"BronxCare Health System","85190","1276 Fulton Ave","Bronx","Bronx","NY","10456","3402","BronxCare Life Recovery CR","50036","Bronx","1285 Fulton Ave","Bronx","NY","10456","3401","Ms. Teanika Chamberlain LCSW","tchambe1@bronxcare.org","7185183736","","Residential Services","Community Residential","7185183733","","","","","","","","","","",""
"BronxCare Health System","85190","1276 Fulton Ave","Bronx","Bronx","NY","10456","3402","BronxCare OTP","309","Bronx","1276 Fulton Ave","Bronx","NY","10456","3402","Ms. Teanika Chamberlain LCSW","tchambe1@bronxcare.org","7185183736","","Opioid Treatment","Opioid Outpatient Treatment","7185037764","","Y","","","","","","","","",""
"Concourse Medical Center, Inc.","43050","880 Morris Ave","Bronx","Bronx","NY","10451","3412","Concourse Medical Center, Inc. OTP","829","Bronx","880 Morris Ave","Bronx","NY","10451","","Ms. Ana M Matos CASAC","amatos@concoursemedical.com","7186659340","118","Opioid Treatment","Opioid Outpatient Treatment","7186659340","122","Y","","","","","","","","",""
"Counseling Services of New York LLC","44640","911 Walton Ave","Bronx","Bronx","NY","10452","","Counseling Services of New York LLC OP","52002","Bronx","911 Walton Ave","Bronx","NY","10452","9554","Eniko Balogh","programdirector@csofny.com","6463019716","","Outpatient Services","Outpatient Clinic","7185901790","6609","Y","","","","","","","","",""
"Jacobi Medical Center (HHC)","85140","1400 Pelham Pkwy S","Bronx","Bronx","NY","10461","1197","Jacobi Medical Center (HHC) OP","51889","Bronx","1400 Pelham Pkwy S","Bronx","NY","10461","1197","Mrs. Tabitha Gonzalez","gonzalet6@nychhc.org","7189186711","","Outpatient Services","Outpatient Clinic","7189187798","","Y","","","","","","","","",""
"Lincoln Medical & MHC (HHC)","84150","545 East 142 Street","Bronx","Bronx","NY","10451","","Rec Ctr at Belvis Diagnostic & TC OP","6813","Bronx","545 East 142nd St","Bronx","NY","10454","","Christina Laboy CSW-R","Christina.Laboy@nychhc.org","7185794061","","Outpatient Services","Outpatient Clinic","7185794063","","Y","","","","","","","","",""
"Montefiore Medical Center","85420","1510 Waters Place","Bronx","Bronx","NY","10470","2723","Montefiore Medical Center MSW-OP","52788","Bronx","1510 Waters Pl","Bronx","NY","10461","","Ms. Anaam Hussain","anhussai@montefiore.org","7188293440","8578","Crisis Services","Med Sup Withdrawal-Outpatient","","","","","","","","","","","",""
"Montefiore Medical Center","85420","1510 Waters Place","Bronx","Bronx","NY","10470","2723","Montefiore Medical Center OP","51981","Bronx","2058 Jerome Ave","Bronx","NY","10453","1817","Mrs. Lorena Allen","lorferna@montefiore.org","9175648788","","Outpatient Services","Outpatient Clinic","9175648763","","Y","","","","","","","","",""
"Montefiore Medical Center","85420","1510 Waters Place","Bronx","Bronx","NY","10470","2723","Montefiore Medical Center OTP","327","Bronx","3550 Jerome Ave","Bronx","NY","10467","1005","Mrs. Stephanie Pagan","stpagan@montefiore.org","7189204940","","Opioid Treatment","Opioid Outpatient Treatment","7189204069","","Y","","","","","","","","",""
"Montefiore Medical Center","85420","1510 Waters Place","Bronx","Bronx","NY","10470","2723","Montefiore Medical Center OTP 1","420","Bronx","2058 Jerome Ave","Bronx","NY","10453","1817","Ms. Katherine Estevez","kestevez@montefiore.org","9175648728","","Opioid Treatment","Opioid Outpatient Treatment","9175648714","","Y","","","","","","","","",""
"Montefiore Medical Center","85420","1510 Waters Place","Bronx","Bronx","NY","10470","2723","Montefiore Medical Center OTP 2","52790","Bronx","804 E 138th St","Bronx","NY","10454","","Ms. Alexandra Valentine","alvalent@montefiore.org","7184099450","","Opioid Treatment","Opioid Outpatient Treatment","7186657500","3092","Y","","","","","","","","",""
"Montefiore Medical Center","85420","1510 Waters Place","Bronx","Bronx","NY","10470","2723","Next Steps North OP 1","52915","Bronx","1510 Waters Pl","Bronx","NY","10461","","Ms. Maria Porinchak","mporinch@montefiore.org","7184099433","","Outpatient Services","Outpatient Clinic","7184099433","","Y","Y","","","","","","","",""
"Montefiore Medical Center","85420","1510 Waters Place","Bronx","Bronx","NY","10470","2723","Next Steps North OP2","52787","Bronx","1510 Waters Pl","Bronx","NY","10461","","Ms. Anaam Hussain","anhussai@montefiore.org","7185973888","","Outpatient Services","Outpatient Clinic","7185973888","","Y","","","","","","1200 Waters Place","Bronx","10461","Bronx"
"Montefiore Medical Center","85420","1510 Waters Place","Bronx","Bronx","NY","10470","2723","Next Steps South OP","52792","Bronx","260 E 161st St","Bronx","NY","10451","3512","Ms. Crismilda Fermin LCSW","cfermin@montefiore.org","7189933397","","Outpatient Services","Outpatient Clinic","7189933397","","Y","","","","","","","","",""
"Montefiore Medical Center","85420","1510 Waters Place","Bronx","Bronx","NY","10470","2723","Wakefield Recovery Center OP","52212","Bronx","4401 Bronx Blvd","Bronx","NY","10470","1407","Dr. Yael L Belinkie PhD","ybelinki@montefiore.org","9175648786","","Outpatient Services","Outpatient Clinic","7183047048","","Y","","","","","","","","",""
"Montefiore Medical Center","85420","1510 Waters Place","Bronx","Bronx","NY","10470","2723","Wellness Center at Melrose OTP","52791","Bronx","260 E 161st St","Bronx","NY","10451","","Ms. Crismilda Fermin LCSW","cfermin@montefiore.org","7189933397","","Opioid Treatment","Opioid Outpatient Treatment","7189933397","","Y","","","","","","","","",""
"Montefiore Medical Center","85420","1510 Waters Place","Bronx","Bronx","NY","10470","2723","Wellness Center at Waters Place OMM","52789","Bronx","1510 Waters Pl","Bronx","NY","10461","","Mrs. Corina Langert","clangert@montefiore.org","7184099450","","Opioid Treatment","Medical Maintenance","7184099450","","Y","","","","","","","","",""
"Montefiore Medical Center","85420","1510 Waters Place","Bronx","Bronx","NY","10470","2723","Wellness Center at Waters Place OTP","52786","Bronx","1510 Waters Pl","Bronx","NY","10461","","Ms. Anaam Hussain","anhussai@montefiore.org","7184099420","8578","Opioid Treatment","Opioid Outpatient Treatment","7184099450","","Y","","","","","","","","",""
"Odyssey House, Inc.","19400","120 Wall Street","New York","New York","NY","10005","","Odyssey House Family ReEntry RRi","53846","Bronx","1328 Clinton Ave","Bronx","NY","10456","","Ms. Kashifa Barber","kbarber@odysseyhousenyc.org","7183784520","","Residential Services","820 Residential Reintegration","","","","","","","Y","","","","",""
"Odyssey House, Inc.","19400","120 Wall Street","New York","New York","NY","10005","","Odyssey House, Inc. IR 6","52056","Bronx","1264 Lafayette Ave","Bronx","NY","10474","5309","Ms. Kashifa Barber","Kbarber@odysseyhousenyc.org","7183788671","5120","Residential Services","Intensive Residential","2129875118","","","","","","","","","","",""
"Odyssey House, Inc.","19400","120 Wall Street","New York","New York","NY","10005","","Odyssey House, Inc. OP","7392","Bronx","953 Southern Blvd","Bronx","NY","10459","3428","Ms. Mary Callahan","MCallahan@odysseyhousenyc.org","7188602994","","Outpatient Services","Outpatient Clinic","","","Y","","","","","","","","",""
"Osborne Treatment Services,Inc","1879","809 Westchester Ave","Bronx","Bronx","NY","10455","1704","Osborne Treatment Services, Inc OP","7323","Bronx","809 Westchester Ave","Bronx","NY","10455","1704","Mr. Harold Steenwerth MPS","hsteenwerth@osborneny.org","7187072604","","Outpatient Services","Outpatient Clinic","7187072604","","Y","","","","","","","","",""
"Postgraduate Center for Mental Health","18270","158 E 35th St","New York","New York","NY","10016","4102","Bronx Recovery Support Center OP","53437","Bronx","1775 Grand Concourse","Bronx","NY","10453","8202","Mr. Cesar Vanegas","cvanegas@pgcmh.org","2128895500","202","Outpatient Services","Outpatient Clinic","","","Y","","","Mental Health","","","","","",""
"PROMESA, Inc.","166","311 east 175 street","Bronx","Bronx","Ny","10457","","PROMESA, Inc. IP","52108","Bronx","1776 Clay Ave","Bronx","NY","10457","7239","Mrs. Stephanie Curry CASAC","scurry@promesa.org","7182991100","7663","Inpatient Treatment Services","Inpatient Rehabilitation","7182991100","7599","","","","","","","","","",""
"PROMESA, Inc.","166","311 east 175 street","Bronx","Bronx","Ny","10457","","PROMESA, Inc. MSW-IP","52099","Bronx","1776 Clay Ave","Bronx","NY","10457","7239","Mrs. Stephanie Curry CASAC","scurry@promesa.org","7182991100","7663","Crisis Services","Med Sup Withdrawal - Inpatient","7182991100","7599","","","","","","","","","",""
"PROMESA, Inc.","166","311 east 175 street","Bronx","Bronx","Ny","10457","","PROMESA, Inc. MTA-R","1183","Bronx","1776 Clay Ave","Bronx","NY","10457","","Mr. Kent Belgrave","kenbelgrave@promesa.org","9175749046","","Opioid Treatment","MAOT-A-Residential","7182991100","7599","Y","","","","","","","","",""
"PROMESA, Inc.","166","311 east 175 street","Bronx","Bronx","Ny","10457","","PROMESA, Inc. OP 4","53582","Bronx","1776 Clay Ave","Bronx","NY","10457","7239","Rosa Perez","rperez@promesa.org","3476493011","","Outpatient Services","Outpatient Clinic","","","Y","","","","","","","","",""
"PROMESA, Inc.","166","311 east 175 street","Bronx","Bronx","Ny","10457","","PROMESA, Inc. OTP 3","53581","Bronx","1776 Clay Ave","Bronx","NY","10457","7239","Evelyn Munoz","emunoz@promesa.org","7182991100","","Opioid Treatment","Opioid Outpatient Treatment","","","Y","","","Mental Health","","","","","",""
"PROMESA, Inc.","166","311 east 175 street","Bronx","Bronx","Ny","10457","","PROMESA, Inc. RRSY","2","Bronx","311 E 175th St","Bronx","NY","10457","5804","Mr. John Carridice","jcarridice@promesa.org","9175991512","","Residential Services","Residential Rehab for Youth","7182991100","7599","","","","","","","","","",""
"PROMESA, Inc.","166","311 east 175 street","Bronx","Bronx","Ny","10457","","Ramon Velez Recovery Center OP","53652","Bronx","754 E 151st St","Bronx","NY","10455","3267","Mrs. Catherine McGee CASAC","cmcgee@promesa.org","3473522435","2445","Outpatient Services","Outpatient Clinic","","","Y","","","Mental Health","","","","","",""
